SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
11,Palpa,Ribdikot Rural Municipality,Female Ward Member,2,48,F,Communist Party of Nepal (UML),583,Elected
12,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,2,34,F,Communist Party of Nepal (UML),609,Elected
13,Palpa,Ribdikot Rural Municipality,Ward President,3,58,M,Communist Party of Nepal (UML),464,Elected
14,Palpa,Ribdikot Rural Municipality,Ward Member,3,62,M,Communist Party of Nepal (UML),493,Elected
15,Palpa,Ribdikot Rural Municipality,Ward Member,3,69,M,Communist Party of Nepal (UML),473,Elected
16,Palpa,Ribdikot Rural Municipality,Female Ward Member,3,46,F,Communist Party of Nepal (UML),499,Elected
17,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,3,39,F,Communist Party of Nepal (UML),480,Elected
18,Palpa,Ribdikot Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (UML),534,Elected
19,Palpa,Ribdikot Rural Municipality,Ward Member,4,51,F,Communist Party of Nepal (UML),564,Elected
20,Palpa,Ribdikot Rural Municipality,Ward Member,4,40,M,Communist Party of Nepal (UML),556,Elected
21,Palpa,Ribdikot Rural Municipality,Female Ward Member,4,46,F,Communist Party of Nepal (UML),558,Elected
22,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,4,29,F,Communist Party of Nepal (UML),560,Elected
23,Palpa,Ribdikot Rural Municipality,Ward President,5,40,M,Communist Party of Nepal (UML),503,Elected
24,Palpa,Ribdikot Rural Municipality,Ward Member,5,69,M,Communist Party of Nepal (UML),520,Elected
25,Palpa,Ribdikot Rural Municipality,Ward Member,5,41,M,Communist Party of Nepal (UML),471,Elected
26,Palpa,Ribdikot Rural Municipality,Female Ward Member,5,36,F,Communist Party of Nepal (UML),500,Elected
27,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,5,33,F,Communist Party of Nepal (UML),508,Elected
28,Palpa,Ribdikot Rural Municipality,Ward President,6,42,M,Communist Party of Nepal (UML),369,Elected
29,Palpa,Ribdikot Rural Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),373,Elected
30,Palpa,Ribdikot Rural Municipality,Ward Member,6,34,F,Communist Party of Nepal (UML),366,Elected
31,Palpa,Ribdikot Rural Municipality,Female Ward Member,6,48,F,Communist Party of Nepal (UML),371,Elected
32,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,6,36,F,Communist Party of Nepal (UML),358,Elected
33,Palpa,Ribdikot Rural Municipality,Ward President,7,61,M,Communist Party of Nepal (UML),598,Elected
34,Palpa,Ribdikot Rural Municipality,Ward Member,7,46,M,Communist Party of Nepal (UML),649,Elected
35,Palpa,Ribdikot Rural Municipality,Ward Member,7,57,M,Communist Party of Nepal (UML),592,Elected
36,Palpa,Ribdikot Rural Municipality,Female Ward Member,7,43,F,Communist Party of Nepal (UML),609,Elected
37,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,7,36,F,Communist Party of Nepal (UML),605,Elected
38,Palpa,Ribdikot Rural Municipality,Ward President,8,45,M,Communist Party of Nepal (Maoist Centre),463,Elected
39,Palpa,Ribdikot Rural Municipality,Ward Member,8,50,M,Nepali Congress,436,Elected
40,Palpa,Ribdikot Rural Municipality,Ward Member,8,52,M,Communist Party of Nepal (UML),403,Elected
41,Palpa,Ribdikot Rural Municipality,Female Ward Member,8,51,F,Communist Party of Nepal (Maoist Centre),428,Elected
42,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,8,22,F,Communist Party of Nepal (Maoist Centre),443,Elected
1,Palpa,Rainadevi Chhahara Rural Municipality,Mayor,  ,58,M,Nepali Congress,5146,Elected
2,Palpa,Rainadevi Chhahara Rural Municipality,Vice-Mayor,  ,34,F,Nepali Congress,5320,Elected
3,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,1,49,M,Communist Party of Nepal (Maoist Centre),611,Elected
4,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,1,42,F,Communist Party of Nepal (Maoist Centre),614,Elected
5,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,1,60,M,Communist Party of Nepal (Maoist Centre),611,Elected
6,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,1,42,F,Communist Party of Nepal (Maoist Centre),619,Elected
7,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,1,41,F,Communist Party of Nepal (Maoist Centre),602,Elected
8,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,2,49,M,Nepali Congress,587,Elected
9,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),621,Elected
10,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,2,56,M,Communist Party of Nepal (UML),620,Elected
11,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,2,50,F,Communist Party of Nepal (UML),604,Elected
12,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,2,32,F,Nepali Congress,604,Elected
13,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,3,49,M,Communist Party of Nepal (UML),931,Elected
14,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,3,55,M,Communist Party of Nepal (UML),946,Elected
15,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,3,46,M,Communist Party of Nepal (UML),932,Elected
16,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,3,42,F,Communist Party of Nepal (UML),906,Elected
17,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,3,54,F,Communist Party of Nepal (UML),924,Elected
18,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,4,44,M,Nepali Congress,1130,Elected
19,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,4,57,M,Nepali Congress,1046,Elected
20,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,4,72,M,Nepali Congress,1038,Elected
21,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,4,35,F,Nepali Congress,1058,Elected
22,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,4,44,F,Communist Party of Nepal (UML),1039,Elected
23,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,5,50,M,Nepali Congress,454,Elected
24,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,5,32,M,Nepali Congress,454,Elected
25,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,5,55,M,Nepali Congress,426,Elected
26,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,5,44,F,Nepali Congress,503,Elected
27,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,5,39,F,Nepali Congress,479,Elected
28,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,6,58,M,Nepali Congress,860,Elected
29,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,6,29,M,Nepali Congress,882,Elected
30,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,6,50,M,Nepali Congress,869,Elected
31,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,6,47,F,Nepali Congress,865,Elected
32,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,6,38,F,Nepali Congress,864,Elected
33,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,7,34,M,Nepali Congress,541,Elected
34,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,7,57,M,Nepali Congress,400,Elected
35,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,7,53,M,Communist Party of Nepal (UML),366,Elected
36,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,7,25,F,Nepali Congress,399,Elected
37,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,7,23,F,Nepali Congress,467,Elected
38,Palpa,Rainadevi Chhahara Rural Municipality,Ward President,8,35,M,Nepali Congress,665,Elected
39,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,8,35,M,Nepali Congress,676,Elected
40,Palpa,Rainadevi Chhahara Rural Municipality,Ward Member,8,29,M,Nepali Congress,676,Elected
41,Palpa,Rainadevi Chhahara Rural Municipality,Female Ward Member,8,35,F,Nepali Congress,648,Elected
42,Palpa,Rainadevi Chhahara Rural Municipality,Dalit Female Ward Member,8,32,F,Nepali Congress,682,Elected
1,Arghakhanchi,Chhatradev Rural Municipality,Mayor,  ,43,M,Nepali Congress,6167,Elected
2,Arghakhanchi,Chhatradev Rural Municipality,Vice-Mayor,  ,56,F,Nepali Congress,6190,Elected
3,Arghakhanchi,Chhatradev Rural Municipality,Ward President,1,48,M,Nepali Congress,656,Elected
4,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,1,42,M,Nepali Congress,678,Elected
5,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,1,71,M,Communist Party of Nepal (UML),602,Elected
6,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,1,48,F,Communist Party of Nepal (UML),623,Elected
7,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,1,33,F,Nepali Congress,651,Elected
8,Arghakhanchi,Chhatradev Rural Municipality,Ward President,2,44,M,Nepali Congress,493,Elected
9,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,2,78,M,Nepali Congress,473,Elected
10,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,2,70,M,Nepali Congress,470,Elected
11,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,2,31,F,Nepali Congress,487,Elected
12,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,2,25,F,Nepali Congress,460,Elected
13,Arghakhanchi,Chhatradev Rural Municipality,Ward President,3,47,M,Communist Party of Nepal (UML),785,Elected
14,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,3,54,M,Communist Party of Nepal (UML),760,Elected
15,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,3,60,M,Communist Party of Nepal (UML),721,Elected
16,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,3,35,F,Communist Party of Nepal (UML),800,Elected
17,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,3,48,F,Communist Party of Nepal (UML),778,Elected
18,Arghakhanchi,Chhatradev Rural Municipality,Ward President,4,56,M,Nepali Congress,677,Elected
19,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,4,59,M,Nepali Congress,752,Elected
20,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,4,66,M,Nepali Congress,741,Elected
21,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,4,41,F,Nepali Congress,764,Elected
22,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,4,36,F,Nepali Congress,827,Elected
23,Arghakhanchi,Chhatradev Rural Municipality,Ward President,5,56,M,Nepali Congress,751,Elected
24,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,5,46,M,Nepali Congress,744,Elected
25,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,5,62,M,Nepali Congress,729,Elected
26,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,5,39,F,Nepali Congress,765,Elected
27,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,5,32,F,Nepali Congress,766,Elected
28,Arghakhanchi,Chhatradev Rural Municipality,Ward President,6,30,M,Nepali Congress,1052,Elected
29,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,6,66,M,Nepali Congress,847,Elected
30,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,6,63,M,Nepali Congress,796,Elected
31,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,6,64,F,Nepali Congress,983,Elected
32,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,6,35,F,Nepali Congress,972,Elected
33,Arghakhanchi,Chhatradev Rural Municipality,Ward President,7,48,M,Communist Party of Nepal (UML),943,Elected
34,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,7,43,M,Nepali Congress,921,Elected
35,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,7,39,M,Communist Party of Nepal (UML),854,Elected
36,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,7,64,F,Nepali Congress,906,Elected
37,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,7,43,F,Nepali Congress,898,Elected
38,Arghakhanchi,Chhatradev Rural Municipality,Ward President,8,49,M,Nepali Congress,887,Elected
39,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,8,51,M,Nepali Congress,838,Elected
40,Arghakhanchi,Chhatradev Rural Municipality,Ward Member,8,37,M,Nepali Congress,816,Elected
41,Arghakhanchi,Chhatradev Rural Municipality,Female Ward Member,8,48,F,Nepali Congress,756,Elected
42,Arghakhanchi,Chhatradev Rural Municipality,Dalit Female Ward Member,8,37,F,Nepali Congress,816,Elected
1,Arghakhanchi,Panini Rural Municipality,Mayor,  ,43,M,Nepali Congress,5977,Elected
2,Arghakhanchi,Panini Rural Municipality,Vice-Mayor,  ,48,F,Communist Party of Nepal (UML),5547,Elected
3,Arghakhanchi,Panini Rural Municipality,Ward President,1,66,M,Nepali Congress,638,Elected
4,Arghakhanchi,Panini Rural Municipality,Ward Member,1,38,M,Nepali Congress,622,Elected
5,Arghakhanchi,Panini Rural Municipality,Ward Member,1,60,M,Nepali Congress,529,Elected
6,Arghakhanchi,Panini Rural Municipality,Female Ward Member,1,49,F,Nepali Congress,614,Elected
7,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,1,28,F,Nepali Congress,591,Elected
8,Arghakhanchi,Panini Rural Municipality,Ward President,2,60,M,Nepali Congress,638,Elected
9,Arghakhanchi,Panini Rural Municipality,Ward Member,2,52,M,Nepali Congress,743,Elected
10,Arghakhanchi,Panini Rural Municipality,Ward Member,2,58,M,Nepali Congress,595,Elected
11,Arghakhanchi,Panini Rural Municipality,Female Ward Member,2,30,F,Nepali Congress,717,Elected
12,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,2,25,F,Nepali Congress,759,Elected
13,Arghakhanchi,Panini Rural Municipality,Ward President,3,65,M,Communist Party of Nepal (UML),940,Elected
14,Arghakhanchi,Panini Rural Municipality,Ward Member,3,48,M,Communist Party of Nepal (UML),899,Elected
15,Arghakhanchi,Panini Rural Municipality,Ward Member,3,43,M,Communist Party of Nepal (UML),877,Elected
16,Arghakhanchi,Panini Rural Municipality,Female Ward Member,3,51,F,Communist Party of Nepal (UML),935,Elected
17,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,3,27,F,Communist Party of Nepal (UML),906,Elected
18,Arghakhanchi,Panini Rural Municipality,Ward President,4,62,M,Nepali Congress,686,Elected
19,Arghakhanchi,Panini Rural Municipality,Ward Member,4,47,M,Nepali Congress,699,Elected
20,Arghakhanchi,Panini Rural Municipality,Ward Member,4,62,M,Nepali Congress,665,Elected
21,Arghakhanchi,Panini Rural Municipality,Female Ward Member,4,52,F,Nepali Congress,713,Elected
22,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,4,50,F,Nepali Congress,713,Elected
23,Arghakhanchi,Panini Rural Municipality,Ward President,5,51,M,Communist Party of Nepal (UML),1041,Elected
24,Arghakhanchi,Panini Rural Municipality,Ward Member,5,43,M,Communist Party of Nepal (UML),1031,Elected
25,Arghakhanchi,Panini Rural Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),1009,Elected
26,Arghakhanchi,Panini Rural Municipality,Female Ward Member,5,49,F,Communist Party of Nepal (UML),1058,Elected
27,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,5,31,F,Communist Party of Nepal (UML),1074,Elected
28,Arghakhanchi,Panini Rural Municipality,Ward President,6,50,M,Nepali Congress,481,Elected
29,Arghakhanchi,Panini Rural Municipality,Ward Member,6,36,M,Nepali Congress,395,Elected
30,Arghakhanchi,Panini Rural Municipality,Ward Member,6,52,M,Nepali Congress,326,Elected
31,Arghakhanchi,Panini Rural Municipality,Female Ward Member,6,38,F,Nepali Congress,435,Elected
32,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,6,49,F,Nepali Congress,383,Elected
33,Arghakhanchi,Panini Rural Municipality,Ward President,7,36,M,Communist Party of Nepal (UML),985,Elected
34,Arghakhanchi,Panini Rural Municipality,Ward Member,7,46,M,Communist Party of Nepal (UML),1000,Elected
35,Arghakhanchi,Panini Rural Municipality,Ward Member,7,44,M,Communist Party of Nepal (UML),959,Elected
36,Arghakhanchi,Panini Rural Municipality,Female Ward Member,7,40,F,Communist Party of Nepal (UML),974,Elected
37,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,7,44,F,Communist Party of Nepal (UML),969,Elected
38,Arghakhanchi,Panini Rural Municipality,Ward President,8,69,M,Communist Party of Nepal (UML),674,Elected
39,Arghakhanchi,Panini Rural Municipality,Ward Member,8,60,M,Communist Party of Nepal (UML),734,Elected
40,Arghakhanchi,Panini Rural Municipality,Ward Member,8,53,M,Communist Party of Nepal (UML),670,Elected
41,Arghakhanchi,Panini Rural Municipality,Female Ward Member,8,70,F,Communist Party of Nepal (UML),723,Elected
42,Arghakhanchi,Panini Rural Municipality,Dalit Female Ward Member,8,35,F,Communist Party of Nepal (UML),717,Elected
1,Arghakhanchi,Bhumikasthan Urban Municipality,Mayor,  ,44,M,Communist Party of Nepal (Maoist Centre),5320,Elected
2,Arghakhanchi,Bhumikasthan Urban Municipality,Vice-Mayor,  ,51,M,Nepali Congress,5230,Elected
3,Arghakhanchi,Bhumikasthan Urban Municipality,Ward President,1,31,M,Rastriya Janamorcha,572,Elected
4,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,1,51,M,Rastriya Janamorcha,611,Elected
5,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,1,32,M,Rastriya Janamorcha,582,Elected
6,Arghakhanchi,Bhumikasthan Urban Municipality,Female Ward Member,1,36,F,Rastriya Janamorcha,621,Elected
7,Arghakhanchi,Bhumikasthan Urban Municipality,Dalit Female Ward Member,1,52,F,Rastriya Janamorcha,621,Elected
8,Arghakhanchi,Bhumikasthan Urban Municipality,Ward President,2,55,M,Rastriya Janamorcha,666,Elected
9,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,2,63,M,Rastriya Janamorcha,677,Elected
10,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,2,53,M,Rastriya Janamorcha,662,Elected
11,Arghakhanchi,Bhumikasthan Urban Municipality,Female Ward Member,2,32,F,Rastriya Janamorcha,644,Elected
12,Arghakhanchi,Bhumikasthan Urban Municipality,Dalit Female Ward Member,2,56,F,Rastriya Janamorcha,669,Elected
13,Arghakhanchi,Bhumikasthan Urban Municipality,Ward President,3,62,M,Communist Party of Nepal (Maoist Centre),587,Elected
14,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,3,61,M,Rastriya Janamorcha,565,Elected
15,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,3,40,M,Rastriya Janamorcha,528,Elected
16,Arghakhanchi,Bhumikasthan Urban Municipality,Female Ward Member,3,26,F,Rastriya Janamorcha,525,Elected
17,Arghakhanchi,Bhumikasthan Urban Municipality,Dalit Female Ward Member,3,38,F,Rastriya Janamorcha,535,Elected
18,Arghakhanchi,Bhumikasthan Urban Municipality,Ward President,4,40,M,Rastriya Janamorcha,679,Elected
19,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,4,35,M,Rastriya Janamorcha,688,Elected
20,Arghakhanchi,Bhumikasthan Urban Municipality,Ward Member,4,47,M,Rastriya Janamorcha,673,Elected
21,Arghakhanchi,Bhumikasthan Urban Municipality,Female Ward Member,4,63,F,Rastriya Janamorcha,696,Elected
